object_number,priref,object_name-term,creator-name,creator.role,creator.qualifier,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,description,title,title-lang,record - Production - production.place - term,record - Dimension - dimension.type - linkdb,dimension.type-term,dimension.unit-term,dimension.value,dimension.part,dimension.notes,dimension.precision,record - institution.name - linkdb,institution.name-address,institution.name,technique-term,technique.part,technique.notes,production.date.notes,dimension.free
MPM.V.IV.047,149325,schilderij,Peter Paul Rubens,painter,,1612,,1616,,"(1520-1589); man van Jeanne Rivière, schoonvader van Jan I Moretus en Raphelengius; driekwart terzijde, zwart kleed en gepijpte kraag van wit lijnwaad; in de ene hand een passer, in de andere een boek; rechter bovenhoek: A° 1584, aetatis 64. Kopie gemaakt naar een anoniem portret van Plantin (MPM.V.IV.095, inv. 10.086)",Portret van Christoffel Plantin,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,65.9,drager,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Plantin-Moretus (Antwerpen),,,,"gebaseerd op archiefstuk Ar. 128, f°178: ""[1612-1616] Monsieur Pietro Paulo Rubenio doibt avoir (...) Pour payntures pour mon frère Balthasar: C. Plantinus, J. Moretus, J. Lipsius, Plato, Seneca, Leo Decimus, Laurentius Medicus, Picus Mirandula, Alphonsus rex, Matthias Corvinus ... fl. 144"".",
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,50.7,drager,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,95.5,lijst,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,80,lijst,,,,,,,,,,
MPM.V.IV.048,149326,schilderij,"Rubens, Peter Paul",painter,,1633,circa,1633,circa,"Plantins echtgenote (1521?-1596); driekwart terzijde, witte lijnwaden muts, zwart kleed en gepijpte kraag",Portret van Jeanne Rivière,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,64.6,drager,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Plantin-Moretus (Antwerpen),,,,"gebaseerd op archiefstuk Ar. 134, f°222: ""Pedro Paulo Rubenio doibt avoir ... Pour les peintures et contrefaicts et frontispices ensuivants lesquels il a inventé et dépeints. (...) Pour sept contrefaicts sur paneel de Petrus Pantinus, Ar. Montanus, Abr. Ortelius, Jac. Moretus, Joanna Riviera, Martina Plantina et Adriana Gras, pour compte de Balth. Moretus, lesquels il estime a 24 fl. la pièce, mais advouons seulement a fl. 14-8 ... fl. 100-16"". / Ar. 134: (...) Pour compte de la peinture de Jean van Meurs cincquante fl. ... fl. 50,. /  (...) Pour aultant que B. Moretus luy accorde pour les sept contrefaicts de Petrus Pantinus et autres icy en hault, a raison de 24 fl. la pièce, vient pour surplus ... fl. 67.4 / Cat. Rooses, 1927, p. 10, 16",
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,50.1,drager,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,95.5,lijst,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,80,lijst,,,,,,,,,,
MPM.V.IV.057,149332,schilderij,Peter Paul Rubens,painter,,1612,,1616,,"'De wijsgeer is naakt tot onder de maagstreek, slechts bedekt met een zeer lichte witte sluier, over een gedeelte van de linkerarm' (Cat. Rooses, 1927, p. 126 sqq.)  /  archiefstuk Inventaris Balthasar II Moretus, Ar. 108, f°45: 'Anno 1658. Adi Ultima Decembris. register van de schilderyen. (...) Seneca ende Plato in twee stucken, originele van Rubens ... fl. 30'.",The Dying Seneca,en-US,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,mm,652,drager,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Plantin-Moretus (Antwerpen),geschilderd,geheel,,"Gebaseerd op Ar. 128, zie MPM.V.IV.047: gebaseerd op archiefstuk Ar. 128, f°178: ""[1612-1616] Monsieur Pietro Paulo Rubenio doibt avoir (...) Pour payntures pour mon frère Balthasar: C. Plantinus, J. Moretus, J. Lipsius, Plato, Seneca, Leo Decimus, Laurentius Medicus, Picus Mirandula, Alphonsus rex, Matthias Corvinus ... fl. 144"".",
,,,,schilder,,,,,,,De stervende Seneca,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,mm,508,drager,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,mm,842,lijst,,circa,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,mm,698,lijst,,circa,,,,,,,,
MPM.TEK.516,149358,tekening,anoniem,,,1588,,1589,,Ontwerp voor boekillustratie,Aardappelplant,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,mm,216,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Plantin-Moretus (Antwerpen),,,,,
,, Zeichnung,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,mm,280,geheel,,,,Antwerpen [plaats],,,,,,
,, drawing,,,,,,,,,,,,,,,,,,,,,,,,,,
,, dessin,,,,,,,,,,,,,,,,,,,,,,,,,,
av.7611,151657,fluit (aërofoon),,,,1725,ca,1725,ca,Al in de oudheid werden potaarden fluitjes gemaakt die - al dan niet gevuld met water - vogelgeluiden imiteerden. In de 16de eeuw werd het gebruik ervan geassocieerd met luiheid en dwaasheid. Vandaar de narrenhoofden op deze fluitjes.,"Potaarden fluitje in de vorm van een grotesk narrenhoofd, ca 1725",nl-NL,Flanders [region],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,8.5,geheel,,ca,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,Fiche: 17de eeuw,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,4,geheel,,,,,,,,,,
AV.7896.1-2,152565,viool,anoniem,,,1800,,1899,,"versierd met polychroom bloemendecor, o.a twee overvloedshorens als bloemenwanden, waartussen één insect. De achterzijde is onversierd",Sierviool in porselein.,nl-NL,Rouen [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,47,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,waarschijnlijk uit Rouen,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,15,geheel,,,,,,,,,,
AV.1939.020,154826,tafelpiano,"Kadel, Charles",pianobouwer,,1827,ca,1827,ca,"Tafelpiano met vier naar onder toe versmallende poten en pedaallier. Engelse mechaniek, met repetitie (afgeleid van ""Zumpe mechaniek""), een houten plaat (groen geschilderd) ligt over het mechanisme; Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'Brussel, C. Kadel, 1840 - Mechanisme met opstoters; 6 octaven (F-f''''); 2 pedalen: piano (lat met stukjes leder), forte; tweekorige besnaring. Inschrift boven toetsenbord: 'C. KADEL/ FACTEUR DE PORTES PIANOS/ A BRUXELLES'.",Tafelpiano,nl-NL,Brussels [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,87.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,Fiche: omstreeks 1810,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,29.5,geheel,zonder poten,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,177.6,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,70.6,geheel,,,,,,,,,,
AV.2121,160475,natuurtrompet,Raoux,instrument builder,,1800,,1849,,Mondstuk ontbreekt.,Natuurtrompet met op de schalbeker het gegraveerde opschriften 'Proprièté de la ville d'Anvers' en 'No1' en 'Raoux Paris',nl-NL,Frankrijk [staat],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,15.2,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,instrumentenbouwer,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,44.8,geheel,zonder mondstuk,,,,,,,,,
,,,,instrument builder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,11.6,schalbeker,,,,,,,,,,
,,,,instrumentenbouwer,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.2127,160483,trom,,,,1800,,1899,,,Trommel waarvan de boven- en onderrand versierd met rood/witte diagonale lijnen,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,40,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,41.4,geheel,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.2131,160489,theorbo,,,,1800,,1885,,"Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'Anoniem, 17de eeuw -  11 ribben; bovenblad omzoomd met ingelegd ebbenhout en ivoor; geen rozet; dubbele kraag met respectievelijk vijf bourdon- en vijf melodiesnaren; plat-ovale zijstandige sleutels; toets van ebbenhout, geen frets'.
De datering is onzeker, mogelijk gaat het om een 19de eeuwse vervalsing.",Theorbe,de-DE,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,115.8,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,Theorbe,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,35.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,20.5,geheel,,,,,,,,,,
AV.2136,160495,klavecimbel,"Ruckers (I), Andreas",klavecimbelbouwer,,1605,ca.,,,"1 klavier (ontbreekt), wellicht C, D–c3 (oorspronkelijk wellicht C/E-c3) | 8’ 8’ (oorspronkelijk 8’ 4’) 
Sober afgewerkte kast met bruinrode marmerbeschildering. De binnenzijde van het deksel is beschilderd met een jachttafereel en de dekselklep met een bloemenstuk, beide beschilderingen zijn in Antwerpse stijl. Het instrument werd wellicht in de 18de eeuw aangepast; (een groot deel van) de beschildering stamt naar alle waarschijnlijkheid uit die periode. De klavierklep is met architecturale banden beschilderd. Het naambord is beschilderd met bloemen en vogels, de zangbodem met voornamelijk bloemen. Rozet met initialen ‘A R’ (Andreas Ruckers). Geschilderde bloemenkrans rond de rozet. De kast heeft heel wat schade opgelopen. Sommige beschadigde planken zijn vervangen en opnieuw, eerder ruw beschilderd. Grant O’Brien dateert het instrument op basis van het serienummer. Indien deze datering klopt, betreft het hier het oudste bekende instrument van Andreas Ruckers. 
Herkomst: Het instrument werd tussen 1885 en 1892 verworven door het Museum voor Oudheden (Het Steen). Omstreeks 1952 overgedragen aan Museum Vleeshuis.",Klavecimbel,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,184.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,, harpsichord,,,,,,,,"single manual (missing), perhaps C, D–c3 (originally perhaps C/E-c3) | 8’ 8’ (originally 8’ 4’)
Case with understated decoration of russet marble-effect paintwork. The lid interior has been painted with a hunting scene and the lid flap with a floral arrangement; both paintings are in the Antwerp style. The instrument was modified, possibly in the 18th century; in all likelihood (a good portion of) the painting dates from that period. The fallboard (front flap) has been painted in geometric patterns. The nameboard has been painted with flowers and birds, the soundboard chiefly with flowers. Rose with the initials ‘A R’ (Andreas Ruckers). Painted garland around the rose. The case has suffered considerable damage. Some damaged boards have been replaced and repainted rather crudely. O’Brien dates the instrument based on the serial number. If his dating is correct, it makes this instrument the oldest one known by Andreas Ruckers. 
Provenance: The instrument was acquired by the Museum of Antiquities (Het Steen) between 1885 and 1892. Transferred to the Museum Vleeshuis c. 1952.",Harpsichord,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,74.2,geheel,,,,,,,,,,
,, clavecin,,,,,,,,,Clavecin,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,27.5,geheel,,,,,,,,,,
AV.2137,160497,klavecimbel,"Ruckers (I), Andreas",klavecimbelbouwer,,1644,,1644,,"1 klavier, C-c3 (oorspronkelijk C/E-c3) | 8’ 8’ (oorspronkelijk 8’ 4’)
Sober afgewerkte kast met bruinrode marmerbeschildering. De binnenzijde van het deksel is versierd met bedrukt papier en de spreuk ‘SIC TRANSIT GLORIA MVNDI’. Het naambord is versierd met bedrukt papier. Het instrument is op de naambordlijst gesigneerd: ‘ANDREAS RUCKERS DEN OUDEN ME FECIT ANTVERPIÆ’. De zangbodem is beschilderd met bloemen en vogels. Rozet met initialen ‘A R’ (Andreas Ruckers). Geschilderde bloemenkrans rond de rozet. Het oorspronkelijke klavier is later uitgebreid om het verkorte octaaf te vervolledigen. De bediening voor de registers, inclusief het luitregister, is nog aanwezig. Het instrument is van grote informatieve waarde: het heeft weinig ingrijpende verbouwingen ondergaan. In 1984-1985 vonden conservatie-ingrepen plaats. Sinds 2013 is het instrument beschermd door het Vlaamse Topstukkendecreet. 
Herkomst: Het instrument werd tussen 1885 en 1892 verworven door het Museum voor Oudheden (Het Steen). In 1913 overgedragen aan Museum Vleeshuis.",Clavecin,fr-FR,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,94,geheel,met voet,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,, harpsichord,,,,,,,,"single manual, C-c3 (originally C/E-c3) | 8’ 8’ (originally 8’ 4’) 
Case with understated decoration of russet marble-effect paintwork. The lid interior has been decorated using printed paper and the maxim ‘SIC TRANSIT GLORIA MVNDI’. The nameboard has been decorated using printed paper. The instrument has been signed on the name batten: ‘ANDREAS RUCKERS DEN OUDEN ME FECIT ANTVERPI.’. The soundboard has been painted with flowers and birds. Rose with the initials ‘A R’ (Andreas Ruckers). Painted garland around the rose. The original manual was extended at a later date to supplement the shortened octave. The controls are still present for the registers,  including the buff stop. The instrument is of great informative value; it has undergone little in the way of serious refurbishment. It underwent conservation measures in 1984–5. Since 2013, the instrument has come under the protection of the Flemish Masterpieces Decree.
Provenance: The instrument was acquired by the Museum of Antiquities between 1885 and 1892 (Het Steen). Transferred to the Museum Vleeshuis in 1913.",Harpsichord,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,24,geheel,zonder voet,,,,,,,,,
,, clavecin,,,,,,,,,Klavecimbel,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,182,geheel,,ca,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,72,geheel,,,,,,,,,,
AV.2138,160499,klavecimbel,,,,1650,ca,1699,ca,"single manual (missing), G1-f3 (originally G1-e3) | 8’ 4’ (originally 8’ 8’) 
Case with understated decoration of green marble-effect paintwork. The lid and nameboard have also been decorated with green marble-effect paintwork. The soundboard has been painted with flowers and arabesques, and bears the year ‘1629’. The rose ‘I R’ (Joannes Ruckers) is authentic and is consistent with the roses used by Joannes Ruckers after 1617 for single-manual harpsichords, but,  based on its format, belongs to a different instrument. This harpsichord was purchased as an instrument made by Joannes Ruckers,  but in fact it was produced in the late 17th or early 18th century by an unknown Southern Netherlands (Antwerp) builder. It is an instrument with many unanswered questions. The keyboard range is unusually large, and the soundboard may not belong to the rest of the instrument. There is nothing to indicate that the case was enlarged, but the soundboard was extended on the bass and descant sides. Remnants can also be seen on the soundboard of a 4’ bridge with 45 holes. This suggests a soundboard from an instrument with a shortened octave. Does this instrument combine an anonymous case with an authentic Joannes Ruckers soundboard? Painted garland around the rose. The lid bears the initials (?) ‘P P’.
Provenance: This instrument was acquired by the Museum of Antiquities (Het Steen) between 1885 and 1892. Subsequently (?1952) transferred to the Museum Vleeshuis.",Harpsichord,en-US,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,220.8,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,, harpsichord,,,,,,,,"1 klavier (ontbreekt), G1-f3 (oorspronkelijk G1-e3) | 8’ 4’ (oorspronkelijk 8’ 8’)Sober afgewerkte kast met groene marmerbeschildering. Ook het deksel en het naambord zijn met groene marmerbeschildering versierd. De zangbodem is beschilderd met bloemen en arabesken en het jaartal ‘1629’. De rozet ‘I R’ (Joannes Ruckers) is authentiek en komt overeen met de rozetten die Joannes Ruckers na 1617 gebruikte voor klavecimbels met één klavier, maar hoort op basis van het formaat bij een ander instrument. Dit klavecimbel werd verworven als een instrument van Joannes Ruckers, maar is in de late 17de- of vroege 18de-eeuw vervaardigd door een Zuid-Nederlandse (Antwerpse) onbekende bouwer. Het is een instrument met veel vraagtekens. De klavieromvang is ongewoon groot, en de zangbodem past mogelijk niet bij de rest van het instrument. Niets wijst erop dat de kast werd vergroot, maar de zangbodem werd aan zowel de bas- als de discantzijde uitgebreid. Ook zijn er op de zangbodem resten te zien van een 4’-kam met 45 gaatjes. Dit suggereert een zangbodem uit een instrument met een verkort octaaf. Is dit instrument een combinatie van een anonieme kast en een authentieke Joannes Ruckers-zangbodem? Geschilderde bloemenkrans rond de rozet. Op het deksel staan de initialen(?) ‘P P’. 
Herkomst: Dit instrument werd tussen 1885 en 1892 verworven door het Museum voor Oudheden (Het Steen). Later (1952?) overgedragen aan Museum Vleeshuis.",Klavecimbel,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,92.8,geheel,,,,,,,,,,
,, clavecin,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,27,geheel,zonder voet,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,97,geheel,met voet,,,,,,,,,
AV.2139,160500,flageolet,"Schell, Sebastian",fluitbouwer,toegeschreven aan,1675,,1699,,In de baroktijd waren hele kleine blokfluitjes - ‘flageolets’ werden ze ook genoemd - zeer geliefd bij liefhebbers. Zij speelden er onder meer dansmuziek op. Bij dit zeldzame instrumentje in ivoor bleef het originele etui bewaard.,"Flageoletfluitje met etui, S. Schell, Nurnberg, late 17de eeuw",nl-NL,Neurenberg [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,20,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,vermoedelijk late 17de eeuw,
,, koker,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,3,geheel,,ca,,,,,,,fiche: 18de eeuw,
AV.2141,160503,gitaar,Marotel,,,1800,,1899,,"Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'Paris, Marotel, 19de eeuw - 17 frets van paarlemoer; bovenblad en klangkat zijn omzoomd met visgraatmotief en paarlemoer. 'Marotel à Paris.'","Gitaar: 'Paris, Marotel, 19de eeuw, 17 frets",nl-NL,Frankrijk [staat],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,8.9,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,91,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,26,geheel,,,,,,,,,,
AV.2143,160506,klarinet,,,,1810,,1820,,"In zes, in elkaar schuivende delen.","Klarinet voorzien van vijf kleppen, anoniem, ca 1915",nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,66,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,8.3,geheel,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.2145.1-3,160509,fluit (aërofoon),"Kerkis, P.",,,1750,,1799,,,"Dwarsfluit: gebouwd door Kerkis, voorzien van vier kleppen, in drie delen: bovenste deel met mondstuk",nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,33.2,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,2.4,geheel,inclusief kleppen,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,2.2,geheel,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,14.1,onderdeel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,2.2,onderdeel,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.2146.1-2,160510,dansmeesterviooltje,"Hofmans, Matthijs",vioolbouwer,,1675,ca,1699,ca,"Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'Antwerpen, M. Hofmans, ca 1685-1725 - Bootvorm in ebbenhout; 2 C-gaten; 4 snaren; hals bekroond met een gestyleerde bladvolute. Inschrift: 'MATTHYS HOFMANS TOT ANTWERPEN'. Dansmeesterviooltjes - vanwege hun nasale klank ook 'cryters' genoemd, of ‘zakviooltjes’ - waren geliefd bij vermaaksmuziek en werden ook gebruikt door speellieden-dansmeesters bij hun dansonderricht.",Dansmeesterviooltje,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,4,geheel,,ca,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,fiche: 1685-1725 (M. Hofmans werkzaam),
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,41,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,4,geheel,,,,,,,,,,
AV.2148,160514,trom,,,,1892,,1892,,,"Grote infanterietrommel, beschilderd in rood/witte driehoeken",nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,62.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,62.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.3194.15-55,161721,schilderij,"Eyck, Nicholaas Van",painter,,1673,,1673,,"De gewapende gilden marcheren met fluiten en trommels op de Meir. We zien de zuidzijde van de Meir met het kruisbeeld, de Huidevetterstraat en de Wiegstraat. Achter de huizen staat de kerk van het verdwenen klooster der karmelieten.","Olieverf op doek: Grote Parade van de Antwerpse gewapende gilden en burgerwacht op de Meir bij de Huidevettersstraat, N. Van Eyck, Antwerpen, 1673.",nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,184.5,geheel,,ca,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),geschilderd,geheel,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,360,geheel,,ca,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,6.5,geheel,,ca,,,,,,,,
AV.3286.003,161877,gitaar,"Breton, François",vioolbouwer,,1820,,1820,,"Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'Mirecourt, F. Breton, 1820 - Gitaar met 6 snaren en 17 frets van ivoor; bovenblad en klankgat zijn omzoomd met ingelegd ebbenhout en ivoor; kraag versierd met schild van ingelegd paarlemoer met stervormig motief; rond snarenhouder van ebbenhout en paarlemoer opgelegde versiering van rankwerk en putti (in papier uitgesneden). Rug versierd met grisailleversiering: vier personages (2 dames, jonge man en ouderling) in een decor met stadsgezicht. Inschrift: 'F. Breton breveté de S.A.R.Me la Duchesse d'Angoulème. A Mirecourt, 1820; Réparé par H. Delsalle le 17 avril 1932 à Anvers.' 
In de 19de eeuw was de gitaar bij burgers enorm populair als huisinstrument. In het vioolbouwcentrum Mirecourt in de Franse Vogezen werden naast strijkinstrumenten ook massa’s gitaren gebouwd. In de eerste helft van de eeuw was François Breton er een van de belangrijkste bouwers. Deze gitaar is dan ook prachtig versierd. Op de rug valt de decoratie met een bijbels tafereel op.","Gitaar met 6 snaren en 17 frets, F. Breton, Mirecourt, ca. 1820",nl-NL,Mirecourt [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,93,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,"""QU'EST CE LA, DIT-IL A SON PERE, QUI PORTE UN SI GENTIL HABIT, COMMENT L'APPELLE-TON? LE BON VIEILLARD QUI VOULAIT MAINTENIR SON FILS DANS UNE PARFAITE INNOCENCE, LUI REPONDIT, CE SONT DES OIES: OH? L'AGREABLE OISEAU DIT LE FILS TOUT ENCHANTE, MON PERE MENONS- EN UN EN NOTRE BOIS.
CONTES DE LA FONTAINE.""",,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,29,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,8,geheel,,,,,,,,,,
